Local time,Open,High,Low,Close,Volume
20.02.2018 00:03:41.000 GMT-0800,1.23562,1.23562,1.23560,1.23560,9.49
20.02.2018 00:03:42.000 GMT-0800,1.23560,1.23560,1.23555,1.23555,5.7
20.02.2018 00:03:43.000 GMT-0800,1.23552,1.23555,1.23551,1.23555,12.819999999999999
20.02.2018 00:03:44.000 GMT-0800,1.23555,1.23561,1.23555,1.23560,13.770000000000001
20.02.2018 00:03:45.000 GMT-0800,1.23560,1.23560,1.23559,1.23559,2.12
20.02.2018 00:03:46.000 GMT-0800,1.23558,1.23558,1.23555,1.23556,4.710000000000001
20.02.2018 00:03:47.000 GMT-0800,1.23554,1.23556,1.23554,1.23556,6.52
20.02.2018 00:03:48.000 GMT-0800,1.23557,1.23564,1.23557,1.23564,11.770000000000001
20.02.2018 00:03:49.000 GMT-0800,1.23564,1.23565,1.23564,1.23565,2.87
20.02.2018 00:03:50.000 GMT-0800,1.23566,1.23566,1.23566,1.23566,12.620000000000001
20.02.2018 00:03:51.000 GMT-0800,1.23567,1.23567,1.23566,1.23566,5.2700000000000005
20.02.2018 00:03:52.000 GMT-0800,1.23566,1.23574,1.23566,1.23574,5.030000000000001
20.02.2018 00:03:53.000 GMT-0800,1.23573,1.23573,1.23573,1.23573,8.379999999999999
20.02.2018 00:03:54.000 GMT-0800,1.23574,1.23577,1.23574,1.23577,14.66
20.02.2018 00:03:55.000 GMT-0800,1.23575,1.23575,1.23574,1.23574,6.25
20.02.2018 00:03:56.000 GMT-0800,1.23575,1.23575,1.23575,1.23575,3.19
20.02.2018 00:03:57.000 GMT-0800,1.23574,1.23576,1.23574,1.23576,5.12
20.02.2018 00:03:58.000 GMT-0800,1.23575,1.23575,1.23572,1.23572,7.870000000000001
20.02.2018 00:03:59.000 GMT-0800,1.23570,1.23570,1.23569,1.23569,4.1899999999999995
20.02.2018 00:04:00.000 GMT-0800,1.23570,1.23570,1.23570,1.23570,1.31
20.02.2018 00:04:01.000 GMT-0800,1.23570,1.23570,1.23568,1.23568,3.1199999999999997
20.02.2018 00:04:02.000 GMT-0800,1.23569,1.23569,1.23565,1.23565,3.19
20.02.2018 00:04:03.000 GMT-0800,1.23560,1.23560,1.23560,1.23560,1.19
20.02.2018 00:04:04.000 GMT-0800,1.23560,1.23561,1.23560,1.23561,2.25
20.02.2018 00:04:05.000 GMT-0800,1.23563,1.23569,1.23563,1.23566,8.360000000000001
20.02.2018 00:04:06.000 GMT-0800,1.23566,1.23566,1.23566,1.23566,10.200000000000001
20.02.2018 00:04:07.000 GMT-0800,1.23565,1.23566,1.23563,1.23566,10.190000000000001
20.02.2018 00:04:08.000 GMT-0800,1.23565,1.23565,1.23565,1.23565,1.25
20.02.2018 00:04:09.000 GMT-0800,1.23566,1.23566,1.23566,1.23566,1.39
20.02.2018 00:04:10.000 GMT-0800,1.23565,1.23565,1.23564,1.23564,8.89
20.02.2018 00:04:11.000 GMT-0800,1.23565,1.23566,1.23565,1.23565,11.14
20.02.2018 00:04:13.000 GMT-0800,1.23566,1.23566,1.23566,1.23566,3.81
20.02.2018 00:04:14.000 GMT-0800,1.23565,1.23565,1.23562,1.23562,3.44
20.02.2018 00:04:15.000 GMT-0800,1.23566,1.23570,1.23566,1.23570,5.1499999999999995
20.02.2018 00:04:16.000 GMT-0800,1.23569,1.23569,1.23565,1.23565,12.74
20.02.2018 00:04:17.000 GMT-0800,1.23563,1.23563,1.23562,1.23562,2.25
20.02.2018 00:04:18.000 GMT-0800,1.23563,1.23563,1.23563,1.23563,11.81
20.02.2018 00:04:19.000 GMT-0800,1.23560,1.23560,1.23560,1.23560,1.25
20.02.2018 00:04:20.000 GMT-0800,1.23560,1.23561,1.23560,1.23561,4.7
20.02.2018 00:04:21.000 GMT-0800,1.23561,1.23561,1.23561,1.23561,4.2
20.02.2018 00:04:22.000 GMT-0800,1.23561,1.23561,1.23561,1.23561,4.5
20.02.2018 00:04:23.000 GMT-0800,1.23560,1.23560,1.23560,1.23560,1
20.02.2018 00:04:24.000 GMT-0800,1.23561,1.23565,1.23561,1.23565,8.37
20.02.2018 00:04:25.000 GMT-0800,1.23564,1.23564,1.23564,1.23564,1.19
20.02.2018 00:04:26.000 GMT-0800,1.23563,1.23563,1.23563,1.23563,2.25
20.02.2018 00:04:27.000 GMT-0800,1.23564,1.23564,1.23564,1.23564,2.89
20.02.2018 00:04:28.000 GMT-0800,1.23564,1.23564,1.23564,1.23564,1.2
20.02.2018 00:04:29.000 GMT-0800,1.23566,1.23567,1.23566,1.23567,20.020000000000003
20.02.2018 00:04:30.000 GMT-0800,1.23567,1.23567,1.23567,1.23567,4.119999999999999
20.02.2018 00:04:31.000 GMT-0800,1.23568,1.23570,1.23568,1.23570,8.120000000000001
20.02.2018 00:04:32.000 GMT-0800,1.23572,1.23572,1.23572,1.23572,5.06
20.02.2018 00:04:36.000 GMT-0800,1.23573,1.23573,1.23573,1.23573,5.06
20.02.2018 00:04:37.000 GMT-0800,1.23571,1.23571,1.23571,1.23571,1.5
20.02.2018 00:04:38.000 GMT-0800,1.23569,1.23572,1.23568,1.23572,12.430000000000001
20.02.2018 00:04:39.000 GMT-0800,1.23573,1.23573,1.23573,1.23573,5.14
20.02.2018 00:04:41.000 GMT-0800,1.23572,1.23572,1.23572,1.23572,2.44
20.02.2018 00:04:42.000 GMT-0800,1.23572,1.23572,1.23572,1.23572,2.14
20.02.2018 00:04:43.000 GMT-0800,1.23571,1.23572,1.23571,1.23572,4.3100000000000005
20.02.2018 00:04:44.000 GMT-0800,1.23571,1.23571,1.23568,1.23568,3.37
20.02.2018 00:04:45.000 GMT-0800,1.23569,1.23571,1.23569,1.23571,10.68
20.02.2018 00:04:46.000 GMT-0800,1.23572,1.23572,1.23569,1.23569,7.680000000000001
20.02.2018 00:04:47.000 GMT-0800,1.23570,1.23571,1.23570,1.23571,3.5000000000000004
